"Players","MIN","FG_Made","FG_Att","THREES_Made","THREES_Att","FT_Made","FT_Att","OREB","DREB","REB","AST","STL","BLK","TO","PF","PLUS_MINUS","PTS","Position","Reason_For_Benching","Played","Player_Id","Player_Id_Str","Team","Opponent","Game_Id","Date","Home","Neutral","OT_Rounds","Season","Season_Type","Result","Playoff_Round"
"M. Kleber","17","3","3","2","2","0","0","0","2","2","0","0","0","1","1","-3","8","F","Played",TRUE,"2960236","maxi-kleber","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"R. Spalding","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-2","0","F","Played",TRUE,"3908806","ray-spalding","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"D. Powell","17","6","8","0","1","4","6","2","3","5","0","1","1","0","1","0","16","C","Played",TRUE,"2531367","dwight-powell","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"J. Brunson","19","1","3","1","3","0","0","0","1","1","1","0","0","0","1","-3","3","G","Played",TRUE,"3934672","jalen-brunson","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"D. Harris","6","0","2","0","1","0","0","0","0","0","1","0","0","0","0","-2","0","G","Played",TRUE,"2382","devin-harris","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"J.J. Barea","21","3","8","1","2","2","3","0","3","3","10","1","0","1","1","2","9","G","Played",TRUE,"3055","jj-barea","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"R. Broekhoff","4","1","3","1","3","0","0","0","0","0","0","0","0","0","0","-8","3","G","Played",TRUE,"2489693","ryan-broekhoff","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"S. Mejri","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","C","DNP-COACH'S DECISION",FALSE,"2968458","salah-mejri","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"R. Covington","29","6","14","4","11","4","4","0","5","5","2","2","1","2","2","24","20","F","Played",TRUE,"2490620","robert-covington","PHI","CHI","401070217",2018-10-18,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"D. Saric","28","4","12","2","6","3","3","4","6","10","3","1","0","3","2","9","13","F","Played",TRUE,"3032978","dario-saric","PHI","CHI","401070217",2018-10-18,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"J. Embiid","33","9","14","0","3","12","14","1","11","12","3","1","4","2","4","26","30","C","Played",TRUE,"3059318","joel-embiid","PHI","CHI","401070217",2018-10-18,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"B. Simmons","34","5","8","0","0","3","3","1","12","13","11","1","2","3","0","24","13","G","Played",TRUE,"3907387","ben-simmons","PHI","CHI","401070217",2018-10-18,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"M. Fultz","32","5","15","1","3","1","2","3","1","4","5","2","0","1","2","5","12","G","Played",TRUE,"4066636","markelle-fultz","PHI","CHI","401070217",2018-10-18,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"J. Bolden","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","F","Played",TRUE,"3155533","jonah-bolden","PHI","CHI","401070217",2018-10-18,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
